"","NAME","Age.Group","SEX","EDU.Simplified","DEPT","CITY","HOOD","sentence","position","words","focused","tones","sentence_type","total_speakers","position_spec"
"119","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","NFD3","PN","vivir","a","L+H*","NFD",30,"PN3"
"120","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","NFD3","N","San","Juan","H+L* L%","NFD",30,"N1"
"121","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","NFD4","PN","Es",NA,"L+<H*","NFD",30,"PN1"
"122","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","NFD4","PN","possible","que","deaccented","NFD",30,"PN2"
"123","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","NFD4","PN","No",NA,"deaccented","NFD",30,"PN3"
"124","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","NFD4","PN","le","guste","L+¡H*","NFD",30,"PN4"
"125","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","NFD4","N","regalo",NA,"L* L%","NFD",30,"N1"
"126","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","NFD5","N","con","Manuel","L+H*+L L%","NFD",30,"N1"
"127","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","NFD6","PN","Esta",NA,"L+H*","NFD",30,"PN1"
"128","MVF34","18-35","Female","Tertiary","Montevideo","Montevideo","Perez Castellano","NFD6","N","buenisimo","FOCUSED","L+¡H* L%","NFD",30,"N1"
"129","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","BFD1","N","Mandarinas",NA,"L+H* L%","BFD",30,"N"
"130","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","BFD2","PN","Maria",NA,"L+H* H-","BFD",30,"PN1"
"131","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","BFD2","PN","esta",NA,"L*+H","BFD",30,"PN2"
"132","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","BFD2","PN","comiendo",NA,"H+L*","BFD",30,"PN3"
"133","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","BFD2","N","mandarinas",NA,"L+H* L%","BFD",30,"N"
"134","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","BFD4","PN","Yo",NA,"L+H* H-","BFD",30,"PN1"
"135","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","BFD4","PN","vivi",NA,"L+<H*","BFD",30,"PN2"
"136","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","BFD4","PN","muchos",NA,"H*","BFD",30,"PN3"
"137","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","BFD4","PN","anos","en","H+L*","BFD",30,"PN4"
"138","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","BFD4","N","San","Juan","L* L%","BFD",30,"N"
"139","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","NFD1","PN","Senora",NA,"L+<H* L-","NFD",30,"PN1"
"140","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","NFD1","PN","no",NA,"L+H*","NFD",30,"PN2"
"141","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","NFD1","PN","quiero",NA,"H*","NFD",30,"PN3"
"142","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","NFD1","PN","limones",NA,"L* L-","NFD",30,"PN4"
"143","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","NFD1","PN","quiero",NA,"L+<H*","NFD",30,"PN5"
"144","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","NFD1","N","naranjas","FOCUSED","L+H*+L L%","NFD",30,"N1"
"145","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","NFD2","PN","Que",NA,"L+H*","NFD",30,"PN1"
"146","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","NFD2","PN","rico",NA,"¡H*","NFD",30,"PN2"
"147","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","NFD2","PN","olor","a","L+H*","NFD",30,"PN3"
"148","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","NFD2","N","medialunas","FOCUSED","L+¡H* L%","NFD",30,"N1"
"149","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","NFD3","PN","No",NA,"L+H*+L L-","NFD",30,"PN1"
"150","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","NFD3","PN","se","van","L+<H*","NFD",30,"PN2"
"151","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","NFD3","PN","vivir","a","L+<H*","NFD",30,"PN3"
"152","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","NFD3","N","San","Juan","L+H* L%","NFD",30,"N1"
"153","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","NFD4","PN","Es",NA,"L+<H*","NFD",30,"PN1"
"154","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","NFD4","PN","possible","que","L+<H* L-","NFD",30,"PN2"
"155","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","NFD4","PN","No",NA,"L+<H*","NFD",30,"PN3"
"156","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","NFD4","PN","le","guste","L+¡H*","NFD",30,"PN4"
"157","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","NFD4","N","regalo",NA,"L* L%","NFD",30,"N1"
"158","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","NFD5","N","con","Manuel","L+H*+L L%","NFD",30,"N1"
"159","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","NFD6","PN","Esta",NA,"L+<H*","NFD",30,"PN1"
"160","MVF36","36-59","Female","Tertiary","Montevideo","Montevideo","Cordon","NFD6","N","buenisimo","FOCUSED","L+¡H*+L L%","NFD",30,"N1"
"161","MVF49","36-59","Female","Tertiary","Montevideo","Montevideo","Penarol","BFD1","N","Mandarinas",NA,"L* L%","BFD",30,"N"
"162","MVF49","36-59","Female","Tertiary","Montevideo","Montevideo","Penarol","BFD2","PN","Maria",NA,"L+<H*","BFD",30,"PN1"
"163","MVF49","36-59","Female","Tertiary","Montevideo","Montevideo","Penarol","BFD2","PN","esta",NA,"H*","BFD",30,"PN2"
"164","MVF49","36-59","Female","Tertiary","Montevideo","Montevideo","Penarol","BFD2","PN","comiendo",NA,"L*+¡H","BFD",30,"PN3"
"165","MVF49","36-59","Female","Tertiary","Montevideo","Montevideo","Penarol","BFD2","N","mandarinas",NA,"L+H* L%","BFD",30,"N"
"166","MVF49","36-59","Female","Tertiary","Montevideo","Montevideo","Penarol","BFD4","PN","Yo",NA,"L+<H*","BFD",30,"PN1"
"167","MVF49","36-59","Female","Tertiary","Montevideo","Montevideo","Penarol","BFD4","PN","vivi",NA,"L+H*","BFD",30,"PN2"
"168","MVF49","36-59","Female","Tertiary","Montevideo","Montevideo","Penarol","BFD4","PN","muchos",NA,"L+<H*","BFD",30,"PN3"
"169","MVF49","36-59","Female","Tertiary","Montevideo","Montevideo","Penarol","BFD4","PN","anos","en","H+L*","BFD",30,"PN4"
"170","MVF49","36-59","Female","Tertiary","Montevideo","Montevideo","Penarol","BFD4","N","San","Juan","L* L%","BFD",30,"N"
"171","MVF49","36-59","Female","Tertiary","Montevideo","Montevideo","Penarol","NFD1","PN","Senora",NA,"L+H* L-","NFD",30,"PN1"
"172","MVF49","36-59","Female","Tertiary","Montevideo","Montevideo","Penarol","NFD1","PN","no",NA,"L+H*","NFD",30,"PN2"
"173","MVF49","36-59","Female","Tertiary","Montevideo","Montevideo","Penarol","NFD1","PN","quiero",NA,"L+¡H*","NFD",30,"PN3"
"174","MVF49","36-59","Female","Tertiary","Montevideo","Montevideo","Penarol","NFD1","PN","limones",NA,"L+H* L-","NFD",30,"PN4"
"175","MVF49","36-59","Female","Tertiary","Montevideo","Montevideo","Penarol","NFD1","PN","quiero",NA,"L+<H*","NFD",30,"PN5"
"176","MVF49","36-59","Female","Tertiary","Montevideo","Montevideo","Penarol","NFD1","N","naranjas","FOCUSED","L+H*+L L%","NFD",30,"N1"
"177","MVF49","36-59","Female","Tertiary","Montevideo","Montevideo","Penarol","NFD2","PN","Que",NA,"H*","NFD",30,"PN1"
"178","MVF49","36-59","Female","Tertiary","Montevideo","Montevideo","Penarol","NFD2","PN","rico",NA,"L+H*","NFD",30,"PN2"
"179","MVF49","36-59","Female","Tertiary","Montevideo","Montevideo","Penarol","NFD2","PN","olor","a","L+H*","NFD",30,"PN3"
"180","MVF49","36-59","Female","Tertiary","Montevideo","Montevideo","Penarol","NFD2","N","medialunas","FOCUSED","L+H* L%","NFD",30,"N1"
"181","MVF49","36-59","Female","Tertiary","Montevideo","Montevideo","Penarol","NFD3","PN","No",NA,"L+H* L-","NFD",30,"PN1"
"182","MVF49","36-59","Female","Tertiary","Montevideo","Montevideo","Penarol","NFD3","PN","se","van","L+H*","NFD",30,"PN2"
"183","MVF49","36-59","Female","Tertiary","Montevideo","Montevideo","Penarol","NFD3","PN","vivir","a","L+H*","NFD",30,"PN3"
"184","MVF49","36-59","Female","Tertiary","Montevideo","Montevideo","Penarol","NFD3","N","San","Juan","L* L%","NFD",30,"N1"
